comment_id,status_id,parent_id,comment_message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10157342742411558_10157342924511558,274699336557_10157342742411558,,Maxime Michiels,author of comments,2019-07-31 04:36:14,0,0,0,0,0,0,0,0
10157342742411558_10157343034721558,274699336557_10157342742411558,,💙🔵,author of comments,2019-07-31 06:10:34,0,0,0,0,0,0,0,0
10157342742411558_10157344479796558,274699336557_10157342742411558,,Zijn er bij de acties ook winnaars ?🤔,author of comments,2019-07-31 16:38:45,0,0,0,0,0,0,0,0
10157342742411558_10157344672296558,274699336557_10157342742411558,10157342742411558_10157344479796558,Steve Hanoulle we zijn allemaal winnaars💪💪,author of comments,2019-07-31 18:23:20,0,0,0,0,0,0,0,0
10157340995281558_10157341001071558,274699336557_10157340995281558,,Robby Loos,author of comments,2019-07-30 10:03:01,0,0,0,0,0,0,0,0
10157340995281558_10157341117251558,274699336557_10157340995281558,10157340995281558_10157341001071558,Stijn Ulenaers vandaag gekocht 🙈,author of comments,2019-07-30 10:54:31,0,0,0,0,0,0,0,0
10157340995281558_10157341219656558,274699336557_10157340995281558,10157340995281558_10157341001071558,Robby Loos goed bezig 😅,author of comments,2019-07-30 11:43:33,0,0,0,0,0,0,0,0
10157340995281558_10157341237516558,274699336557_10157340995281558,,Sam Geysels Xander Przygoda,author of comments,2019-07-30 11:51:52,2,2,0,0,0,0,0,0
10157340995281558_10157341289836558,274699336557_10157340995281558,10157340995281558_10157341237516558,Jef Bergmans 130,author of comments,2019-07-30 12:15:32,0,0,0,0,0,0,0,0
10157340995281558_10157341740586558,274699336557_10157340995281558,10157340995281558_10157341237516558,Sam Geysels haal die dan,author of comments,2019-07-30 15:43:42,0,0,0,0,0,0,0,0
10157340995281558_10157342970606558,274699336557_10157340995281558,10157340995281558_10157341237516558,Jef Bergmans al 190 geworden ?,author of comments,2019-07-31 05:19:17,0,0,0,0,0,0,0,0
10157340995281558_10157342971076558,274699336557_10157340995281558,10157340995281558_10157341237516558,Xander Przygoda nee 190 is voor +21,author of comments,2019-07-31 05:19:44,0,0,0,0,0,0,0,0
10157340995281558_10157342971621558,274699336557_10157340995281558,10157340995281558_10157341237516558,Gaan die gasjes wel presteren ?,author of comments,2019-07-31 05:20:23,0,0,0,0,0,0,0,0
10157340995281558_10157342984336558,274699336557_10157340995281558,10157340995281558_10157341237516558,Xander Przygoda zonder uw hulp vrees ik ervoor,author of comments,2019-07-31 05:28:56,0,0,0,0,0,0,0,0
10157340995281558_10157343001641558,274699336557_10157340995281558,10157340995281558_10157341237516558,Sam Geysels dan zullen we deze aankoop maar overwegen,author of comments,2019-07-31 05:42:00,2,0,2,0,0,0,0,0
10157340995281558_10157341490656558,274699336557_10157340995281558,,club brugge is coming for this club,author of comments,2019-07-30 13:40:07,4,0,0,0,4,0,0,0
10157340995281558_10157341619996558,274699336557_10157340995281558,,"Ik heb een vraagje: waarom blijven mijn forza punten staan op 0 bij de app? Ik heb sinds dit seizoen abonnee, en ben vorige week na de match geweest + gestemd. Weet iemand wat er fout gaat? Alvast bedankt",author of comments,2019-07-30 14:46:25,0,0,0,0,0,0,0,0
10157340995281558_10157346099661558,274699336557_10157340995281558,10157340995281558_10157341619996558,Yvonne Yvonne : hierboven staat: “ Bericht versturen “. Stuur je vraag door naar KRC. Heb ik onlangs ook gedaan en kreeg spoedig antwoord ! Suk6 !,author of comments,2019-08-01 09:29:41,0,0,0,0,0,0,0,0
10157340995281558_10157341642186558,274699336557_10157340995281558,,Serge Janssen,author of comments,2019-07-30 14:59:11,1,1,0,0,0,0,0,0
10157340995281558_10157341897546558,274699336557_10157340995281558,10157340995281558_10157341642186558,Komt inorde 😉,author of comments,2019-07-30 16:52:19,1,1,0,0,0,0,0,0
10157340995281558_10157341705741558,274699336557_10157340995281558,,waar zijn ze nu die alleen abbo kopen in de play offs als genk kampioen kan spelen?? 🤔,author of comments,2019-07-30 15:29:03,0,0,0,0,0,0,0,0
10157340995281558_10157342997961558,274699336557_10157340995281558,10157340995281558_10157341705741558,"Inez Ramakers zo zijn er overal,succes supporters noem ik hun",author of comments,2019-07-31 05:39:00,0,0,0,0,0,0,0,0
10157340995281558_10157341754606558,274699336557_10157340995281558,,Michael Barez Glenn Deventer,author of comments,2019-07-30 15:48:41,1,1,0,0,0,0,0,0
10157340995281558_10157342604216558,274699336557_10157340995281558,10157340995281558_10157341754606558,Thalytha Barez haha Lotte De Maeseneire ga me neerschieten om de 2 weken naar voetbal. :-p,author of comments,2019-07-31 00:18:47,1,0,0,0,1,0,0,0
10157340995281558_10157342608311558,274699336557_10157340995281558,10157340995281558_10157341754606558,Michael Barez ; Thalytha Barez Glenn Deventer ook vrees ik 😅,author of comments,2019-07-31 00:23:15,1,0,0,0,1,0,0,0
10157340995281558_10157342776136558,274699336557_10157340995281558,,Club Brugge all the way,author of comments,2019-07-31 02:22:28,0,0,0,0,0,0,0,0
10157340995281558_10157343027891558,274699336557_10157340995281558,,Vin het wel achterlijk dat ik helemaal naar Genk moet rijden om mijn zoon zijn abbo te verlengen.,author of comments,2019-07-31 06:04:39,0,0,0,0,0,0,0,0
10157340995281558_10157343296596558,274699336557_10157340995281558,,Cato Geskens?,author of comments,2019-07-31 08:40:48,2,0,1,0,0,0,1,0
