status_id,Post Description,Date of Published,No. of Reactions,No. of comments,No. of shares,No. of likes,No. of loves,No. of wows,No. of hahas,No. of sads,No. of angrys,No. of Specials
274699336557_10157342742411558,En ACTIE! Wil jij volgend jaar deel uitmaken van de Genkie Redactie ? Maak een cool filmpje en schrijf je nu in! 🔵⚪️👍 #krcgenk #samengenk,2019-07-31 03:00:00,39,3,0,37,1,0,0,1,0,-36
274699336557_10157340995281558,"Benjamin Nygren heeft het seizoen ingezet met een knaller! Maar ga ook jij dit seizoen VOLLE BAK voor KRC Genk? Koop je abo nu, 19 wedstrijden vanaf €190! Forza Racing! 🔵⚪️🤘💪🥇 #krcgenk #samengenk",2019-07-30 10:00:02,178,10,1,171,7,0,0,0,0,-168
274699336557_10157340756371558,Come back stronger big man! 💪💪💙💙 #krcgenk #samengenk,2019-07-30 07:57:49,516,71,14,256,22,20,0,216,2,-445
274699336557_10157340287906558,Het droomdebuut van Ianis Hagi was jullie Moment van de match! Geniet nog eens van zijn heerlijke binnenkomer! 💙💙💙👌👌 #krcgenk #samengenk,2019-07-30 05:00:00,505,14,15,417,86,2,0,0,0,-491
274699336557_10157340310736558,Wil jij mee naar KV Mechelen zaterdag? Hieronder alle ticketinfo! 🔵⚪️🔵⚪️ #krcgenk #samengenk,2019-07-30 02:53:13,82,6,3,71,10,1,0,0,0,-76
274699336557_10157337800931558,Kies je moment van afgelopen vrijdag! Like de foto die je kippenvel bezorgde en ontdek morgen jullie moment van de match! 🔵⚪️💙👏👏 #krcgenk #samengenk,2019-07-29 09:00:01,165,1,4,149,15,1,0,0,0,-164
274699336557_10157337611461558,"Supporters, de eerste speeldag is afgerond. Op naar de volgende 3 punten tegen KV Mechelen. 
 🔵⚪️👊 #krcgenk #samengenk",2019-07-29 05:01:36,401,9,8,368,33,0,0,0,0,-392
274699336557_10157334991191558,De eerste 3 punten zijn binnen. In een moeilijke wedstrijd tegen KV Kortrijk zorgden nieuwkomers Hagi en Nygren ervoor dat we een 0-1 achterstand ombogen naar 2-1 winst. FORZA RACING 💙💪👊#samengenk#krcgenk,2019-07-28 09:00:38,156,3,6,135,21,0,0,0,0,-153
274699336557_10157331385441558,De eerste 3 punten zijn binnen. In een moeilijke wedstrijd tegen KV Kortrijk zorgden nieuwkomers Hagi en Nygren ervoor dat we een 0-1 achterstand ombogen naar 2-1 winst. FORZA RACING 💙💪👊#samengenk#krcgenk,2019-07-27 05:00:00,565,21,19,485,80,0,0,0,0,-544
274699336557_10157332217546558,Ianis Hagi was jullie Man of the match tegen KV Kortrijk! Congrats Ianis & keep up the good work! 💙💙💙💪👌Wil je ook mee stemmen? Download onze KRC Genk app! #krcgenk #samengenk,2019-07-27 03:00:04,1469,105,35,1246,215,8,0,0,0,-1364
274699336557_10157331212756558,"De training vandaag is geschrapt, extra dagje rust voor de spelers. 💙🙌 #krcgenk #samengenk",2019-07-27 00:00:00,180,6,2,167,13,0,0,0,0,-174
274699336557_10157331059816558,"De eerste driepunter is een feit. We beginnen goed. Bedankt supporters, jullie waren opnieuw een echte twaalfde man. Het wedstrijdverslag met foto's staat hier beneden. #krcgnk #samengenk
https://www.krcgenk.be/nl/nieuws/3625/de-eerste-winst-is-een-feit-2-1-tegen-kv-kortrijk",2019-07-26 16:59:00,631,28,10,539,89,2,1,0,0,-603
274699336557_10157330938761558,Missie volbracht. We winnen met 2-1 tegen Kortrijk en staan op kop in het klassement 😎 Nieuwkomers Nygren en Hagi scoorden de Genkse doelpunten💙💪 #krcgenk #gnkkvk #samengenk,2019-07-26 15:24:49,1362,65,74,1136,222,1,2,1,0,-1297
274699336557_10157330922866558,Piotrowski komt Ito vervangen. Komaan Jacub!  💙💪 #krcgenk #gnkkvk #samengenk,2019-07-26 15:17:31,127,2,0,120,7,0,0,0,0,-125
274699336557_10157330896446558,"2-1 , Iiiiiiaaaaniiiiiisssss HAGI !!!!! Forza Ianis ! 💪👏💙 #krcgenk #gnkkvk #samengenk",2019-07-26 15:04:01,1580,86,158,1206,361,11,2,0,0,-1494
274699336557_10157330891021558,Ianis Hagi komt Benjamin Nygren vervangen! Come on Ianis! 💪👏💙 #krcgenk #gnkkvk #samengenk,2019-07-26 15:00:34,322,30,4,273,47,2,0,0,0,-292
274699336557_10157330865611558,Come on Joseph! 💪👏💙 #krcgenk #gnkkvk #samengenk,2019-07-26 14:50:37,117,6,0,108,6,3,0,0,0,-111
274699336557_10157330838136558,Benjamin Nygren scoort de gelijkmaker: 1-1  FORZA RACING 💪👏💙 #krcgenk #gnkkvk #samengenk,2019-07-26 14:37:47,466,23,17,392,72,1,0,0,1,-443
274699336557_10157330822661558,De tweede helft is begonnen. Forza Racing! 💪👏💙 #krcgenk #gnkkvk #samengenk,2019-07-26 14:31:07,88,5,1,87,0,1,0,0,0,-83
274699336557_10157330785901558,We gaan rusten met een 0-1 achterstand tegen Kortrijk.  💪👏💙 #krcgenk #gnkkvk #samengenk,2019-07-26 14:16:26,182,43,7,134,1,6,1,24,16,-139
274699336557_10157330711281558,"We komen op achterstand. 0-1 : De Sart , Komaan jongens! 💪💪 #krcgenk #samengenk",2019-07-26 13:48:59,168,43,2,137,0,10,1,15,5,-125
274699336557_10157330677106558,De aftrap is gegeven in de eerste competitiewedstrijd van seizoen 2019-2020. Komaan jongens! Forza Racing! 💪👏💙 #krcgenk #gnkkvk #samengenk,2019-07-26 13:30:04,212,17,3,190,22,0,0,0,0,-195
274699336557_10157330511731558,Deze jongens geven de aftrap van onze eerste competitiewedstrijd! 🔵⚪️👊🤙#krcgenk #gnkkvk #samengenk,2019-07-26 12:14:28,886,57,25,803,73,2,0,5,3,-829
274699336557_10157330237386558,Succes Dante! 💪💙 #krcgenk #samengenk,2019-07-26 09:59:43,427,68,13,290,3,8,3,67,56,-359
274699336557_10157330007671558,"Danny Vukovic heeft alvast geen last van de warmte ☀️☀️ ""Enorm veel zin om aan het nieuwe seizoen te beginnen en opnieuw mooie momenten te creëren! "" KNALLEN MAAR!! 💙💪👊#krcgenk #gnkkvk #samengenk",2019-07-26 08:00:01,204,7,5,175,29,0,0,0,0,-197
274699336557_10157329637641558,"Kom op tijd straks en vergeet geen extra pintje, frisdrank of watertje te drinken! Fooooorza RACING!! 🌞🔥😅💙 #krcgenk #samengenk",2019-07-26 04:00:00,135,11,2,132,3,0,0,0,0,-124
274699336557_10157329559246558,Straks staat de eerste wedstrijd in de JPL op het programma tegen KV Kortrijk. Forza Racing! 💪👊🔵⚪️ #krcgenk #gnkkvk #samengenk,2019-07-26 02:00:04,652,21,47,597,55,0,0,0,0,-631
